component,rate [per sec]
hartlepool_1,0.000105
hartlepool_2,7.861E-05
heysham_full,1.22E-05
heysham_2,6.894E-06
torness_full,4.419E-06
geo,6.364E-06
world,1.962E-05
li9,3.25E-05
n17,1.99E-05
singles,35700000
fn,0.03217
hinkley_c,2.563E-06
sizewell_b,1.330E-06
gravelines,2.599E-06
world_2028,1.474E-05
