component,rate [per sec]
big,9.5310E-05
small,7.1260E-05
heysham,5.1950E-06
heysham2,2.6480E-06
torness,1.9450E-06
geo,7.0130E-07
world,4.3820E-06
li9,7.9700E-06
n17,8.0100E-06
singles,3.0000E+07
