component,rate [per sec]
hartlepool_1,2.1640E-04
hartlepool_2,1.6200E-04
heysham_full,2.5140E-05
heysham_2,1.4210E-05
torness_full,9.1080E-06
geo,1.3120E-05
world,4.0440E-05
li9,2.1750E-05
n17,2.1860E-05
singles,5.5100E+07
fn,4.9620E-02
