component,rate [per sec]
hartlepool_1,4.039E-05
hartlepool_2,3.024E-05
heysham_full,4.692E-06
heysham_2,2.652E-06
torness_full,1.7E-06
geo,2.448E-06
world,7.547E-06
li9,1.25E-05
n17,7.64E-06
singles,20500000
fn,0.01849
hinkley_c,9.859E-07
sizewell_b,5.117E-07
gravelines,9.995E-07
world_2028,5.671E-06
